model_type,top_fault_1,top_fault_2,top_fault_3,top_pct_1,top_pct_2,top_pct_3
D155A-6R,coolant+decrease in quantity,rail press low error,coolant+overheat,17.73,11.18,10.4
D21PL-8,komtrax gps antenna cable+open circuit,,,100.0,,
D31EX-22,komtrax gps antenna cable+open circuit,water in fuel sensor high error,chg air press sensor low error,27.76,12.34,6.68
D31PX-22,komtrax gps antenna cable+open circuit,rail press low error,water in fuel sensor high error,23.19,9.66,9.66
D375A-5,high r cyl. exhaust temp.,very high r cyl. exhaust temp.,high f cyl. exhaust temp.,14.21,14.04,10.1
D375A-6,very high rb cyl. exhaust temp.,high rb cyl. exhaust temp.,very high lb cyl. exhaust temp.,13.59,13.45,8.55
D375A-6R,komtrax gps antenna cable+open circuit,,,100.0,,
D39EX-22,back-up alarm buzzer+short circuit,,,100.0,,
D39PX-22,water in fuel sensor high error,komtrax gps antenna cable+open circuit,air cleaner element+clogging,26.15,23.08,13.85
D65E-12,komtrax gps antenna cable+open circuit,,,100.0,,
D65P-12,komtrax gps antenna cable+open circuit,,,100.0,,
GD511A-1,komtrax gps antenna cable+open circuit,,,100.0,,
GD535-5,water in fuel sensor high error,tm shift lever+open circuit,rail press low error,22.07,8.7,7.36
GD705-5,water in fuel sensor high error,hydraulic fan speed sensor+deterioration,tm shift lever+open circuit,23.61,8.82,8.53
GD755-5R,tm shift lever+open circuit,tm mount+overheat,hydraulic fan speed sensor+rotating speed signal doesnt match,17.6,8.21,7.62
GD825A-2,komtrax gps antenna cable+open circuit,,,100.0,,
GD955-7R,grease+shortage,steering angle sensor+analog signal doesnt match,auto grease controller assy+on/off signal doesnt match,7.51,4.69,3.76
HB205-1,g/p controller can communication+malfunction,monitor controller can communicaton+malfunction,travel neutral solenoid valve+open circuit,22.22,22.22,22.22
HB365-1,engine oil+decrease in quantity,hb swing emergency stop switch+operation,ventilating sensor+open circuit,10.35,5.45,5.18
HB365LC-1,air cleaner clogging sensor(1)+open circuit,air cleaner element+clogging,hb swing emergency stop switch+operation,40.91,40.91,18.18
HD1500-8,neutral coast caution+operation,"komtrax plus,ethernet comm 2+communication error (compo line)",neutral over speed caution+operation,23.53,13.45,13.45
HD465-7,high f cyl. exhaust temp.2,high f cyl. exhaust temp.1,r exhaust temp. sensor failure,12.86,11.37,8.6
HD785-7,drop in accumulator oil pressure (rear),drop in accumulator oil pressure (front),very high rbr cyl. exhaust temp,12.82,10.35,7.67
HD785-8R,engine exhaust temp sensor(fl)+short circut of power source line,neutral coast caution+operation,camera controller+controller inside failure,15.69,15.69,9.8
HM400-3R,neutral over speed caution+operation,neutral coast caution+operation,cac fan speed sensor+deterioration,12.87,9.94,5.89
PC1250-11R,"komtrax plus,ethernet comm 2+communication error (compo line)",hydraulic fan speed sensor+deterioration,hydraulic gear pump+eng condition and signal not match,10.92,7.26,5.99
PC1250-8,high blowby pressure,blowby pres. sensor failure,f pump press sensor abnormality,17.65,11.55,10.89
PC130F-7,engine speed sensor+defective function,komtrax gps antenna cable+open circuit,feedback potentiometer+open circut or short circuit,16.78,13.8,8.7
PC135F-10M0,engine oil+decrease in quantity,eng.blow-by pressure+pressure high error,eng oil press sw error,9.03,7.98,6.16
PC160LC-8,engine oil+decrease in quantity,komtrax gps antenna cable+open circuit,coolant+decrease in quantity,20.41,13.61,9.52
PC195LC-8,engine oil+decrease in quantity,alternator+defective charging,wind washer motor+open circuit,21.15,10.44,8.97
PC200-10M0,water in fuel sensor high error,coolant+decrease in quantity,eng.blow-by pressure+pressure high error,20.39,6.06,6.02
PC200-8,wind washer motor+open circuit,wiper motor+defective function,,66.67,33.33,
PC200-8M0,coolant+decrease in quantity,wind washer motor+open circuit,water in fuel sensor high error,8.23,7.86,6.46
PC200-8M1,wind washer motor+open circuit,air mix damper+malfunction,engine oil+decrease in quantity,11.54,10.64,5.52
PC2000-11R,g/p controller model select line+model select signal mismatch,"komtrax plus,ethernet comm 1+communication error (compo line)",grease lubrication system+low oil pressure,7.22,6.08,5.32
PC2000-8,very high lbr cyl. exhaust temp,high lbr cyl. exhaust temp,exhaust temp. sensor lbr failure,14.14,12.99,9.05
PC210-10M0,water in fuel sensor main or (r)+input signal out of scope,fan clutch fan speed sensor+deterioration,air mix damper+malfunction,9.49,7.13,6.26
PC210LC-10M0,fan clutch fan speed sensor+deterioration,outer sensor+open circuit,,50.0,50.0,
PC300-8,komtrax gps antenna cable+open circuit,engine oil+low oil pressure,,80.0,20.0,
PC300-8M0,water in fuel sensor high error,engine oil+decrease in quantity,rail press low error,18.5,14.52,5.07
PC300-8M2,hyd filter bypass valve sensor 1+clogging,water in fuel sensor high error,eng.blow-by pressure+pressure high error,24.5,17.0,15.0
PC300LC-8,engine oil+decrease in quantity,arm in ppc pressure sensor+defective function,bucket curl ppc pressure sensor+defective function,24.14,10.34,10.34
PC3400-11M0,engine coolant temperature - data valid but above normal operating range - moderately severe level,at least one module has a most severe fault - condition exists,persistent data lost error,11.7,10.64,10.64
PC350LC-8M2,hyd filter bypass valve sensor 1+clogging,air cleaner element+clogging,air cleaner clogging sensor(1)+open circuit,25.75,15.89,14.79
PC400LC-8R,wind washer motor+open circuit,komtrax gps antenna cable+open circuit,att serv valve changeover solenoid+open circuit,24.84,10.14,6.34
PC45MR-3,komtrax gps antenna cable+open circuit,monitor cntrlr can communicaton 2+communication error (compo line),gps module+malfunction,54.55,36.36,9.09
PC500LC-10R,fan clutch fan speed sensor+deterioration,lock lever auto lock release switch+operation,hyd filter bypass valve sensor 1+clogging,16.16,10.7,10.26
PC70-8,komtrax gps antenna cable+open circuit,wind washer motor+open circuit,swing right ppc pressure sensor+defective function,33.53,28.74,5.99
PC850-8R1,komtrax gps antenna cable+open circuit,wind washer motor+open circuit,engine oil+decrease in quantity,27.07,16.54,8.27
WA150-5,komtrax gps antenna cable+open circuit,boom angle sensor+input signal out of scope,bottom oil pressure sensor+input signal out of scope,23.73,11.86,11.86
WA150-6,komtrax gps antenna cable+open circuit,rail press high error,coolant+overheat,20.0,12.5,7.5
WA200-5,komtrax gps antenna cable+open circuit,coolant+decrease in quantity,c terminal signal+eng condition and signal not match,19.42,11.65,8.74
WA200-6,komtrax gps antenna cable+open circuit,coolant+overheat,coolant+decrease in quantity,31.82,22.73,9.09
WA320-5,komtrax gps antenna cable+open circuit,alternator+defective function,transmission oil filter+clogging,62.5,12.5,12.5
WA380-6,water in fuel sensor high error,engine oil+decrease in quantity,steering pressure sensor+open circuit,20.51,9.52,9.52
WA380Z-6,komtrax gps antenna cable+open circuit,engine oil+decrease in quantity,fan pump epc solenoid valve+open circuit,15.38,11.54,10.58
WA480-6,water in fuel sensor high error,ambient press sens low error,komtrax gps antenna cable+open circuit,19.93,9.25,6.41
WA500-6R,boom angle sensor+duplicate engagement of tm clutches,tm shift lever+open circuit,boom angle sensor+open circuit,17.99,9.88,7.41
WA600-3A,komtrax gps antenna cable+open circuit,,,100.0,,
WA800-3,komtrax gps antenna cable+open circuit,directional switch signal failure,vhms 12v source sys error,58.7,23.91,15.22
WA900-8R,boom angle sensor+duplicate engagement of tm clutches,swing angle sensor+analog signal doesnt match,coolant+decrease in quantity,15.38,10.77,7.69
