plan,account,model_type,total_fault_count,rank
SDU,PUTRA PERKASA ABADI,WA480-6,67,10
SDU,PUTRA PERKASA ABADI,PC500LC-10R,56,11
SDU,PUTRA PERKASA ABADI,HB365-1,50,12
SDU,PUTRA PERKASA ABADI,D155A-6R,40,13
SDU,PUTRA PERKASA ABADI,PC850-8R1,30,14
SDU,PUTRA PERKASA ABADI,WA380Z-6,30,14
SDU,PUTRA PERKASA ABADI,GD705-5,22,15
SDU,PUTRA PERKASA ABADI,GD755-5R,22,15
SDU,PUTRA PERKASA ABADI,PC3400-11M0,22,15
SDU,PUTRA PERKASA ABADI,D31PX-22,20,16
SDU,PUTRA PERKASA ABADI,GD535-5,20,16
SDU,PUTRA PERKASA ABADI,WA200-5,18,17
SDU,PUTRA PERKASA ABADI,PC2000-11R,16,18
SDU,PUTRA PERKASA ABADI,PC300-8M2,14,19
SDU,PUTRA PERKASA ABADI,PC2000-8,10,20
SDU,PUTRA PERKASA ABADI,D375A-6,8,21
SDU,PUTRA PERKASA ABADI,D375A-6R,8,21
SDU,PUTRA PERKASA ABADI,GD825A-2,8,21
SDU,PUTRA PERKASA ABADI,PC1250-8,8,21
SDU,PUTRA PERKASA ABADI,PC200-8M1,8,21
SDU,PUTRA PERKASA ABADI,D39PX-22,2,22
SDU,PUTRA PERKASA ABADI,HM400-3R,2,22
SGA,CIPTA HASIL SUGIARTO,PC200-8M0,166,1
SGA,CIPTA HASIL SUGIARTO,PC1250-11R,74,2
SGA,CIPTA HASIL SUGIARTO,PC400LC-8R,37,3
SGA,CIPTA HASIL SUGIARTO,D155A-6R,14,4
SGA,CIPTA HASIL SUGIARTO,PC210-10M0,10,5
SGA,CIPTA HASIL SUGIARTO,HD785-7,9,6
SGA,CIPTA HASIL SUGIARTO,GD535-5,8,7
SGA,CIPTA HASIL SUGIARTO,PC200-8M1,6,8
SGA,CIPTA HASIL SUGIARTO,PC200-10M0,4,9
SGA,CIPTA HASIL SUGIARTO,GD755-5R,2,10
SGT,PAMAPERSADA NUSANTARA,HD785-7,2717,1
SGT,PAMAPERSADA NUSANTARA,D375A-6,897,2
SGT,PAMAPERSADA NUSANTARA,D375A-5,584,3
SGT,PAMAPERSADA NUSANTARA,PC300-8M0,145,4
SGT,PAMAPERSADA NUSANTARA,HD1500-8,70,5
SGT,PAMAPERSADA NUSANTARA,PC210-10M0,52,6
SGT,PAMAPERSADA NUSANTARA,PC350LC-8M2,48,7
SGT,PAMAPERSADA NUSANTARA,PC2000-11R,41,8
SGT,PAMAPERSADA NUSANTARA,HM400-3R,34,9
SGT,PAMAPERSADA NUSANTARA,PC1250-11R,22,10
SGT,PAMAPERSADA NUSANTARA,PC200-8M0,22,10
SGT,PAMAPERSADA NUSANTARA,PC200-10M0,6,11
SGT,PAMAPERSADA NUSANTARA,PC850-8R1,6,11
SGT,PAMAPERSADA NUSANTARA,PC300-8M2,4,12
SGT,PAMAPERSADA NUSANTARA,GD755-5R,2,13
SGT,PAMAPERSADA NUSANTARA,PC200-8M1,2,13
SGT,PAMAPERSADA NUSANTARA,PC400LC-8R,2,13
SGT,PAMAPERSADA NUSANTARA,WA500-6R,2,13
SKL,TRIDEA SENADA,HD785-7,364,1
SKL,TRIDEA SENADA,GD755-5R,117,2
SKL,TRIDEA SENADA,PC2000-8,115,3
SKL,TRIDEA SENADA,PC200-8M1,108,4
SKL,TRIDEA SENADA,PC210-10M0,101,5
SKL,TRIDEA SENADA,PC1250-11R,84,6
SKL,TRIDEA SENADA,PC200-8M0,71,7
SKL,TRIDEA SENADA,PC2000-11R,70,8
SKL,TRIDEA SENADA,D155A-6R,62,9
SKL,TRIDEA SENADA,D31EX-22,48,10
SKL,TRIDEA SENADA,HD465-7,32,11
SKL,TRIDEA SENADA,PC300-8M0,32,11
SKL,TRIDEA SENADA,PC130F-7,20,12
SKL,TRIDEA SENADA,PC400LC-8R,16,13
SKL,TRIDEA SENADA,PC850-8R1,16,13
SKL,TRIDEA SENADA,GD825A-2,14,14
SKL,TRIDEA SENADA,WA500-6R,10,15
SKL,TRIDEA SENADA,WA900-8R,10,15
SKL,TRIDEA SENADA,PC135F-10M0,8,16
SKL,TRIDEA SENADA,GD705-5,6,17
SKL,TRIDEA SENADA,PC70-8,4,18
SKL,TRIDEA SENADA,WA150-6,4,18
SKL,TRIDEA SENADA,GD535-5,2,19
SKL,TRIDEA SENADA,HB365-1,2,19
SMD,MULTINDO PRIMA TEKNIK,PC200-8M0,536,1
SMD,MULTINDO PRIMA TEKNIK,PC400LC-8R,264,2
SMD,MULTINDO PRIMA TEKNIK,PC210-10M0,243,3
SMD,MULTINDO PRIMA TEKNIK,PC200-10M0,191,4
SMD,MULTINDO PRIMA TEKNIK,PC1250-11R,154,5
SMD,MULTINDO PRIMA TEKNIK,PC200-8M1,153,6
SMD,MULTINDO PRIMA TEKNIK,PC300-8M0,141,7
SMD,MULTINDO PRIMA TEKNIK,HD465-7,107,8
SMD,MULTINDO PRIMA TEKNIK,GD755-5R,85,9
SMD,MULTINDO PRIMA TEKNIK,PC500LC-10R,52,10
SMD,MULTINDO PRIMA TEKNIK,GD535-5,50,11
SMD,MULTINDO PRIMA TEKNIK,HM400-3R,46,12
SMD,MULTINDO PRIMA TEKNIK,PC130F-7,31,13
SMD,MULTINDO PRIMA TEKNIK,GD705-5,28,14
SMD,MULTINDO PRIMA TEKNIK,WA480-6,16,15
SMD,MULTINDO PRIMA TEKNIK,PC135F-10M0,14,16
SMD,MULTINDO PRIMA TEKNIK,WA380-6,12,17
SMD,MULTINDO PRIMA TEKNIK,PC300-8M2,10,18
SMD,MULTINDO PRIMA TEKNIK,D155A-6R,6,19
SMD,MULTINDO PRIMA TEKNIK,D31PX-22,6,19
SMD,MULTINDO PRIMA TEKNIK,D39EX-22,4,20
SMD,MULTINDO PRIMA TEKNIK,HD785-7,2,21
SMD,MULTINDO PRIMA TEKNIK,WA380Z-6,2,21
SMD,MULTINDO PRIMA TEKNIK,WA500-6R,2,21
SMG,KEMBANG ARUM,PC210-10M0,636,1
SMG,KEMBANG ARUM,PC200-8M0,402,2
SMG,KEMBANG ARUM,PC195LC-8,103,3
SMG,KEMBANG ARUM,PC200-10M0,64,4
SMG,KEMBANG ARUM,PC300-8M0,38,5
SMG,KEMBANG ARUM,D31PX-22,32,6
SMG,KEMBANG ARUM,D31EX-22,24,7
SMG,KEMBANG ARUM,WA320-5,16,8
SMG,KEMBANG ARUM,PC200-8M1,14,9
SMG,KEMBANG ARUM,D39PX-22,12,10
SMG,KEMBANG ARUM,HM400-3R,10,11
SMG,KEMBANG ARUM,PC130F-7,10,11
SMG,KEMBANG ARUM,PC400LC-8R,6,12
SMG,KEMBANG ARUM,WA380-6,5,13
SMG,KEMBANG ARUM,D155A-6R,4,14
SMG,KEMBANG ARUM,PC135F-10M0,4,14
SMG,KEMBANG ARUM,WA200-6,4,14
SPR,PANCARAN DARAT TRANSPORT,PC135F-10M0,385,1
SPR,PANCARAN DARAT TRANSPORT,PC130F-7,201,2
SPR,PANCARAN DARAT TRANSPORT,PC210-10M0,99,3
SPR,PANCARAN DARAT TRANSPORT,HD785-7,76,4
SPR,PANCARAN DARAT TRANSPORT,PC300-8M0,60,5
SPR,PANCARAN DARAT TRANSPORT,PC200-10M0,49,6
SPR,PANCARAN DARAT TRANSPORT,GD535-5,36,7
SPR,PANCARAN DARAT TRANSPORT,PC200-8M0,30,8
SPR,PANCARAN DARAT TRANSPORT,PC200-8M1,10,9
SPR,PANCARAN DARAT TRANSPORT,GD825A-2,8,10
SPR,PANCARAN DARAT TRANSPORT,PC500LC-10R,8,10
SPR,PANCARAN DARAT TRANSPORT,GD705-5,6,11
SPR,PANCARAN DARAT TRANSPORT,GD755-5R,2,12
SPT,GRAHA CAKRAMULIA,PC200-8M0,523,1
SPT,GRAHA CAKRAMULIA,PC210-10M0,459,2
SPT,GRAHA CAKRAMULIA,PC135F-10M0,272,3
SPT,GRAHA CAKRAMULIA,PC200-10M0,233,4
SPT,GRAHA CAKRAMULIA,PC130F-7,193,5
SPT,GRAHA CAKRAMULIA,PC300-8M0,65,6
SPT,GRAHA CAKRAMULIA,PC400LC-8R,58,7
SPT,GRAHA CAKRAMULIA,GD535-5,45,8
SPT,GRAHA CAKRAMULIA,PC160LC-8,32,9
SPT,GRAHA CAKRAMULIA,GD705-5,30,10
SPT,GRAHA CAKRAMULIA,PC200-8M1,26,11
SPT,GRAHA CAKRAMULIA,PC70-8,24,12
SPT,GRAHA CAKRAMULIA,WA200-5,24,12
SPT,GRAHA CAKRAMULIA,PC195LC-8,18,13
SPT,GRAHA CAKRAMULIA,PC500LC-10R,16,14
SPT,GRAHA CAKRAMULIA,D31EX-22,12,15
SPT,GRAHA CAKRAMULIA,GD511A-1,8,16
SPT,GRAHA CAKRAMULIA,WA500-6R,8,16
SPT,GRAHA CAKRAMULIA,PC200-8,6,17
SPT,GRAHA CAKRAMULIA,WA150-5,6,17
SPT,GRAHA CAKRAMULIA,D31PX-22,3,18
SPT,GRAHA CAKRAMULIA,WA150-6,2,19
SPT,GRAHA CAKRAMULIA,WA200-6,2,19
SRG,BERKAT MELIMPAH BERSAMA,PC200-10M0,700,1
SRG,BERKAT MELIMPAH BERSAMA,PC210-10M0,553,2
SRG,BERKAT MELIMPAH BERSAMA,PC200-8M0,526,3
SRG,BERKAT MELIMPAH BERSAMA,PC300-8M0,99,4
SRG,BERKAT MELIMPAH BERSAMA,PC195LC-8,65,5
SRG,BERKAT MELIMPAH BERSAMA,PC200-8M1,30,6
SRG,BERKAT MELIMPAH BERSAMA,PC300-8M2,17,7
SRG,BERKAT MELIMPAH BERSAMA,PC135F-10M0,16,8
SRG,BERKAT MELIMPAH BERSAMA,D31EX-22,12,9
SRG,BERKAT MELIMPAH BERSAMA,GD535-5,12,9
SRG,BERKAT MELIMPAH BERSAMA,PC130F-7,8,10
SRG,BERKAT MELIMPAH BERSAMA,GD511A-1,6,11
SRG,BERKAT MELIMPAH BERSAMA,WA500-6R,6,11
SRG,BERKAT MELIMPAH BERSAMA,WA150-5,2,12
SRK,VALE INDONESIA TBK,PC200-10M0,28,1
SRK,VALE INDONESIA TBK,PC2000-11R,22,2
SRK,VALE INDONESIA TBK,HD785-7,18,3
SRK,VALE INDONESIA TBK,D65P-12,8,4
SRK,VALE INDONESIA TBK,GD825A-2,8,4
SRK,VALE INDONESIA TBK,PC300-8M2,6,5
SRK,VALE INDONESIA TBK,PC200-8M0,4,6
SRK,VALE INDONESIA TBK,WA900-8R,4,6
SRK,VALE INDONESIA TBK,GD705-5,2,7
SRK,VALE INDONESIA TBK,PC210-10M0,2,7
SRK,VALE INDONESIA TBK,PC2000-8,1,8
STI,UNKNOWN,PC300-8M0,26,1
STI,UNKNOWN,WA500-6R,10,2
TBG,KARUNIA ARMADA INDONESIA,HD785-7,789,1
TBG,KARUNIA ARMADA INDONESIA,PC2000-11R,280,2
TBG,KARUNIA ARMADA INDONESIA,PC1250-11R,164,3
TBG,KARUNIA ARMADA INDONESIA,PC400LC-8R,120,4
TBG,KARUNIA ARMADA INDONESIA,PC210-10M0,104,5
TBG,KARUNIA ARMADA INDONESIA,D375A-6,100,6
TBG,KARUNIA ARMADA INDONESIA,PC135F-10M0,100,6
TBG,KARUNIA ARMADA INDONESIA,PC200-10M0,93,7
TBG,KARUNIA ARMADA INDONESIA,WA900-8R,62,8
TBG,KARUNIA ARMADA INDONESIA,PC200-8M0,44,9
TBG,KARUNIA ARMADA INDONESIA,D31EX-22,32,10
TBG,KARUNIA ARMADA INDONESIA,D155A-6R,26,11
TBG,KARUNIA ARMADA INDONESIA,GD705-5,26,11
TBG,KARUNIA ARMADA INDONESIA,WA800-3,24,12
TBG,KARUNIA ARMADA INDONESIA,GD955-7R,20,13
TBG,KARUNIA ARMADA INDONESIA,PC300-8M2,20,13
TBG,KARUNIA ARMADA INDONESIA,PC200-8M1,16,14
TBG,KARUNIA ARMADA INDONESIA,D375A-6R,8,15
TBG,KARUNIA ARMADA INDONESIA,GD825A-2,8,15
TBG,KARUNIA ARMADA INDONESIA,PC500LC-10R,8,15
TBG,KARUNIA ARMADA INDONESIA,D65P-12,4,16
TBG,KARUNIA ARMADA INDONESIA,GD535-5,4,16
TBG,KARUNIA ARMADA INDONESIA,HM400-3R,4,16
THP,KARUNIA ARMADA INDONESIA,HD785-7,353,1
THP,KARUNIA ARMADA INDONESIA,PC2000-8,172,2
THP,KARUNIA ARMADA INDONESIA,PC200-8M0,103,3
THP,KARUNIA ARMADA INDONESIA,HD465-7,79,4
THP,KARUNIA ARMADA INDONESIA,PC400LC-8R,24,5
THP,KARUNIA ARMADA INDONESIA,D155A-6R,10,6
THP,KARUNIA ARMADA INDONESIA,GD511A-1,8,7
THP,KARUNIA ARMADA INDONESIA,GD705-5,8,7
THP,KARUNIA ARMADA INDONESIA,PC210-10M0,8,7
THP,KARUNIA ARMADA INDONESIA,PC200-8M1,2,8
THP,KARUNIA ARMADA INDONESIA,PC500LC-10R,2,8
TJE,ANTAREJA MAHADA MAKMUR,PC210-10M0,276,1
TJE,ANTAREJA MAHADA MAKMUR,PC200-10M0,158,2
TJE,ANTAREJA MAHADA MAKMUR,PC200-8M0,147,3
TJE,ANTAREJA MAHADA MAKMUR,PC1250-11R,140,4
TJE,ANTAREJA MAHADA MAKMUR,PC500LC-10R,86,5
TJE,ANTAREJA MAHADA MAKMUR,GD535-5,66,6
TJE,ANTAREJA MAHADA MAKMUR,HD785-7,63,7
TJE,ANTAREJA MAHADA MAKMUR,HM400-3R,53,8
TJE,ANTAREJA MAHADA MAKMUR,PC300-8M0,48,9
TJE,ANTAREJA MAHADA MAKMUR,D31EX-22,46,10
TJE,ANTAREJA MAHADA MAKMUR,D155A-6R,36,11
TJE,ANTAREJA MAHADA MAKMUR,PC2000-11R,32,12
TJE,ANTAREJA MAHADA MAKMUR,PC850-8R1,29,13
TJE,ANTAREJA MAHADA MAKMUR,PC1250-8,19,14
TJE,ANTAREJA MAHADA MAKMUR,D65P-12,14,15
TJE,ANTAREJA MAHADA MAKMUR,WA480-6,14,15
TJE,ANTAREJA MAHADA MAKMUR,GD755-5R,12,16
TJE,ANTAREJA MAHADA MAKMUR,WA380-6,12,16
TJE,ANTAREJA MAHADA MAKMUR,HB365-1,8,17
TJE,ANTAREJA MAHADA MAKMUR,PC2000-8,8,17
TJE,ANTAREJA MAHADA MAKMUR,PC130F-7,6,18
TJE,ANTAREJA MAHADA MAKMUR,WA200-5,6,18
TJE,ANTAREJA MAHADA MAKMUR,GD705-5,4,19
TJE,ANTAREJA MAHADA MAKMUR,HD465-7,4,19
TJE,ANTAREJA MAHADA MAKMUR,PC400LC-8R,3,20
TJE,ANTAREJA MAHADA MAKMUR,PC195LC-8,2,21
TJG,SAPTAINDRA SEJATI,HD785-7,4109,1
TJG,SAPTAINDRA SEJATI,PC1250-11R,264,2
TJG,SAPTAINDRA SEJATI,D375A-6,199,3
TJG,SAPTAINDRA SEJATI,PC200-8M0,174,4
TJG,SAPTAINDRA SEJATI,PC210-10M0,173,5
TJG,SAPTAINDRA SEJATI,PC2000-8,136,6
TJG,SAPTAINDRA SEJATI,PC400LC-8R,131,7
TJG,SAPTAINDRA SEJATI,PC300-8M0,102,8
TJG,SAPTAINDRA SEJATI,HD465-7,55,9
TJG,SAPTAINDRA SEJATI,WA500-6R,48,10
TJG,SAPTAINDRA SEJATI,PC2000-11R,44,11
TJG,SAPTAINDRA SEJATI,PC200-10M0,35,12
TJG,SAPTAINDRA SEJATI,PC500LC-10R,28,13
TJG,SAPTAINDRA SEJATI,GD825A-2,26,14
TJG,SAPTAINDRA SEJATI,GD955-7R,24,15
TJG,SAPTAINDRA SEJATI,WA900-8R,22,16
TJG,SAPTAINDRA SEJATI,D155A-6R,20,17
TJG,SAPTAINDRA SEJATI,PC300-8M2,18,18
TJG,SAPTAINDRA SEJATI,PC70-8,18,18
TJG,SAPTAINDRA SEJATI,GD705-5,16,19
TJG,SAPTAINDRA SEJATI,PC195LC-8,16,19
TJG,SAPTAINDRA SEJATI,PC200-8M1,16,19
TJG,SAPTAINDRA SEJATI,D375A-6R,8,20
TJG,SAPTAINDRA SEJATI,PC350LC-8M2,8,20
TJG,SAPTAINDRA SEJATI,WA800-3,8,20
TJG,SAPTAINDRA SEJATI,HB365-1,2,21
TJG,SAPTAINDRA SEJATI,PC135F-10M0,2,21
TJG,SAPTAINDRA SEJATI,WA200-6,2,21
TJG,SAPTAINDRA SEJATI,WA380-6,2,21
TJR,MARINA BARA LESTARI,HD785-7,776,1
TJR,MARINA BARA LESTARI,PC200-8M0,242,2
TJR,MARINA BARA LESTARI,PC300-8M0,242,2
TJR,MARINA BARA LESTARI,PC210-10M0,171,3
TJR,MARINA BARA LESTARI,PC400LC-8R,159,4
TJR,MARINA BARA LESTARI,PC500LC-10R,115,5
TJR,MARINA BARA LESTARI,PC1250-11R,90,6
TJR,MARINA BARA LESTARI,HD465-7,84,7
TJR,MARINA BARA LESTARI,GD705-5,72,8
TJR,MARINA BARA LESTARI,PC200-10M0,60,9
TJR,MARINA BARA LESTARI,PC350LC-8M2,35,10
TJR,MARINA BARA LESTARI,D31EX-22,24,11
TJR,MARINA BARA LESTARI,GD535-5,18,12
TJR,MARINA BARA LESTARI,HB365-1,18,12
TJR,MARINA BARA LESTARI,PC850-8R1,16,13
TJR,MARINA BARA LESTARI,PC130F-7,15,14
TJR,MARINA BARA LESTARI,WA150-5,14,15
TJR,MARINA BARA LESTARI,PC135F-10M0,12,16
TJR,MARINA BARA LESTARI,D39PX-22,10,17
TJR,MARINA BARA LESTARI,PC2000-11R,10,17
TJR,MARINA BARA LESTARI,PC45MR-3,8,18
TJR,MARINA BARA LESTARI,WA480-6,8,18
TJR,MARINA BARA LESTARI,GD755-5R,6,19
TJR,MARINA BARA LESTARI,D155A-6R,5,20
TJR,MARINA BARA LESTARI,HM400-3R,4,21
TJR,MARINA BARA LESTARI,D31PX-22,2,22
TJR,MARINA BARA LESTARI,WA150-6,2,22
TJR,MARINA BARA LESTARI,WA500-6R,2,22
TRK,SINAR PERDANA SEJATI,HD785-7,2956,1
TRK,SINAR PERDANA SEJATI,PC210-10M0,283,2
TRK,SINAR PERDANA SEJATI,PC200-8M0,153,3
TRK,SINAR PERDANA SEJATI,PC400LC-8R,149,4
TRK,SINAR PERDANA SEJATI,PC200-10M0,121,5
TRK,SINAR PERDANA SEJATI,PC195LC-8,57,6
TRK,SINAR PERDANA SEJATI,GD955-7R,52,7
TRK,SINAR PERDANA SEJATI,HM400-3R,50,8
TRK,SINAR PERDANA SEJATI,PC135F-10M0,38,9
TRK,SINAR PERDANA SEJATI,PC300-8M0,35,10
TRK,SINAR PERDANA SEJATI,D375A-6,32,11
TRK,SINAR PERDANA SEJATI,PC200-8M1,28,12
TRK,SINAR PERDANA SEJATI,D31EX-22,24,13
TRK,SINAR PERDANA SEJATI,GD705-5,20,14
TRK,SINAR PERDANA SEJATI,GD535-5,18,15
TRK,SINAR PERDANA SEJATI,PC2000-8,14,16
TRK,SINAR PERDANA SEJATI,PC130F-7,12,17
TRK,SINAR PERDANA SEJATI,PC2000-11R,8,18
TRK,SINAR PERDANA SEJATI,PC300-8,8,18
TRK,SINAR PERDANA SEJATI,D155A-6R,6,19
TRK,SINAR PERDANA SEJATI,D375A-6R,6,19
TRK,SINAR PERDANA SEJATI,PC45MR-3,4,20
TRK,SINAR PERDANA SEJATI,WA380-6,2,21
UPG,QIRANI TRIDAYA KARYA,PC210-10M0,1554,1
UPG,QIRANI TRIDAYA KARYA,PC200-10M0,709,2
UPG,QIRANI TRIDAYA KARYA,HM400-3R,702,3
UPG,QIRANI TRIDAYA KARYA,PC300-8M0,427,4
UPG,QIRANI TRIDAYA KARYA,PC200-8M0,398,5
UPG,QIRANI TRIDAYA KARYA,PC195LC-8,161,6
UPG,QIRANI TRIDAYA KARYA,PC200-8M1,138,7
UPG,QIRANI TRIDAYA KARYA,GD535-5,78,8
UPG,QIRANI TRIDAYA KARYA,PC130F-7,50,9
UPG,QIRANI TRIDAYA KARYA,PC300-8M2,44,10
UPG,QIRANI TRIDAYA KARYA,PC400LC-8R,27,11
UPG,QIRANI TRIDAYA KARYA,GD705-5,20,12
UPG,QIRANI TRIDAYA KARYA,PC135F-10M0,20,12
UPG,QIRANI TRIDAYA KARYA,HB365-1,16,13
UPG,QIRANI TRIDAYA KARYA,PC500LC-10R,16,13
UPG,QIRANI TRIDAYA KARYA,PC1250-11R,14,14
UPG,QIRANI TRIDAYA KARYA,WA380Z-6,14,14
UPG,QIRANI TRIDAYA KARYA,D31PX-22,8,15
UPG,QIRANI TRIDAYA KARYA,D65P-12,8,15
UPG,QIRANI TRIDAYA KARYA,GD755-5R,8,15
UPG,QIRANI TRIDAYA KARYA,WA200-5,8,15
UPG,QIRANI TRIDAYA KARYA,D155A-6R,4,16
UPG,QIRANI TRIDAYA KARYA,PC300-8,2,17
UPG,QIRANI TRIDAYA KARYA,PC350LC-8M2,2,17
