Status,EMR Name,Serial Number,Machine Product,Machine Model,Account: Account Name,Sub Call Type,PMAct Type,Subjects,Symptom,Caused of Problem,Branch / Site,Part Suply,Main Cause Part No,Part Description,Part Description.1,Techcare Component,Techcare Component.1,Techcare Sub Component,Techcare Sub Component.1,Created Date,EMR Last Closed Date,cluster_id,cluster_label,cluster_confidence
Closed,U-00015721,DBCH2699,KOMAT,PC200-10M0,INDO PRIMA LESTARIJAYA,Internal - Unschedule Breakdown,USW,Penambahan Fuel Filtration PC200 E530,Penambahan Fuel Filtration PC200 E530,Penggunaan Fuel B30 yang merupakan campuran antara fuel dan palm oil yang memungkinkan terjadinya penymbatan filter akibat dari endapan kandungan fuel,SKL,1,01010-80825 01010-81225 01643-30823 01643-31232 20Y-04-56121 6745-71-1130 6751-71-9860 6754-71-6370,Main Fuel Filter  ,Main Fuel Filter   ,   ,FUEL SYSTEM, ,,2025-09-30,2025-10-03,1,Fuel System Issues,0.9
Closed,U-00001662,DBCH1500,KOMAT,PC200-10M0,STANCHAR KARYA UTAMA,Internal - Troubleshooting,TRS,TRS AC PC200 SN DBCH1500 PT. SKU,INFO CUSTOMER TERJADI PROBLEM AC HOT PADA UNIT KETIKA DI OPERASIKAN,KEMUDIAN DIALKUKAN PEMERIKSAAN OLEH MEKANIK DAN DITEMUKAN PENYEBAB PROBLEM TERJADI KARENA BOLT MOUNTING BRACKET COMPRESSOR AC TELAH PATAH SEHINGGA BELT PADA COMPRESSOR MENJADI KENDOR/LONGGAR SEHINGGA KERJA DARI COMPRESSOR AC TIDAK MAKSIMAL,MLW,0,01010-81045,BOLT  ,BOLT,   ,COMPRESSOR, ,  MOUNTING BRACKET BOLT,2024-04-03,2024-04-11,1,Fuel System Issues,0.9
Closed,U-00009309,DBCH2267,KOMAT,PC200-10M0,ELANG EMAS TRAKTOR,Internal - Troubleshooting,USW,RI AC COMPRESOR PC200,BOLT MOUNTING BRACKET COMPRESSOR AC BROKEN,DATA : 1. Unit beroperasi untuk pembangunan jalan TOL SUMATERA 2. Unit masuk Program Maintenance Package (PMP) 3. Unit menggunakan genuine part. 4. Perawatan dan pengoperasian unit normal. 5. Saat di cek oleh mekanik UT didapati kondisi 3pcs BOLT MOUNTING BRACKET COMPRESSOR AC patah   Analisa:   Dari data di atas kami simpulkan penyebab bolt patah dikarenakan daya tahan bolt yang tidak bagus.,JBI,1,01010-81045,BOLT  ,BOLT,   ,ACCOMPRESSOR, ,,2025-02-06,2025-03-26,1,Fuel System Issues,0.9
Closed,U-00006796,J10096,KOMAT,PC200-10M0,ADHINATHA BUMI NUSANTARA GLOBAL,Internal - Troubleshooting,USW,REMOVEnINSTALL HYDRAULIC SYSTEM PC SMALL,HOSE RETURN SWIVEL JOINT BROKEN,"DATA   : - Customer request mechanic UT atas temuan oli terpancar dari area swivel joint     - Mechanic UT melakukan pengecekan atas temuan oil leak tersebut     - Ditemukan sumber kebocoran oli dari hose return swivel joint     - Tidak ada ditemukan indikasi hose terkena benturan atau faktor external lain penyebab rusaknya hose    - Hose return swivel joint mengalami kerusakan pada area pitting hose             ANALISA :       - Dari hasil pengecekan dan observasi mekanik bahwa oil leak dari hose bersumber dari pitting hose yang kurang baik sehingga oli keluar deras dari pitting tersebut, & tidak ada indikasi bekas terbentur materia? asing atau faktor eksternal ",MDO,1,02774-00220,HOSE  ,HOSE   ,   HYDRAULIC SYSTEM ,HYDRAULIC SYSTEM, Hydraulic Tank, Hydraulic Tank ,2024-10-30,2024-11-01,1,Fuel System Issues,0.9
Closed,U-00020284,DBCH3333,KOMAT,PC200-10M0,UTAMA TRAKTOR,Internal - Unschedule Inspection Warranty,UIW,TRS HYD SYS PC200 EX-005 UTAMA TRACKTOR,oli hydraulic kurang,Hose travel motor LH leak. Poor durability hose travel motor LH,TJE,0,02774-00220,hose  ,HOSE   ,   HYDRAULIC SYSTEM ,HYDRAULIC SYSTEM, Hydraulic Tank, Hydraulic Tank ,2026-02-28,2026-03-04,1,Fuel System Issues,0.9
Closed,U-00017012,DBCH2200,KOMAT,PC200-10M0,TOMBROK JAYA PERMAI,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200,HYDRAULIC OIL LEAK FROM HOSE TRAVEL 1. INSPECTION HYDRAULIC LINES 2. INSPECTION WORKING AREA 3. COLLECT DATA,"DATA DATA DARI HASIL PENGECHECKAN 1.         HYDRAULIC OIL LEAK FROM HOSE TRAVEL SPEED 2.         HOSE CONTACK WITH CHASIS 3.         GROMMET CHASIS LOST   DARI DATA YANG SUDAH DIKUMPULKAN, DAPAT DILIHAT BAHWA PENYEBAB KEBOCORAN OLI HYDRAULIC ADALAH KARENA HOSE TRAVEL SPEED LH CONTACT DENGAN CHASIS DAN GROMMET PADA CHASIS TIDAK ADA.   PERLU DILAKUKAN PENGGANTIAN HOSE DAN PEMASANGAN GROMMET AGAR TROUBLE SERUPA TIDAK TERJADI LAGI",BJM,0,02774-00220,HOSE  ,HOSE   ,   ,HYDRAULIC SYSTEM, ,,2025-11-10,2025-11-14,1,Fuel System Issues,0.9
Closed,U-00020311,DBCH3333,KOMAT,PC200-10M0,UTAMA TRAKTOR,Internal - Unschedule Breakdown,OVH,RI HYD CTRL VALVE EX005 PC200 UT,HOSE TRAVEL PILOT CRACK,DURABILITY OF PART,TJE,0,02774-00220,HOSE HANSEI  ,HOSE   ,   HYDRAULIC SYSTEM ,HYDRAULIC SYSTEM, ,,2026-03-02,2026-03-16,1,Fuel System Issues,0.9
Closed,U-00012602,DBCH2506,KOMAT,PC200-10M0,CAHAYA BUMI BAHODOPI,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200_DBCH2506_CAHA,Hydraulic Oil External Leakage,Hose Drain Travel Motror Crack,PLU,0,02774-00419,HOSE  ,HOSE   ,   ,HYDRAULIC SYSTEM, ,,2025-06-16,2025-07-03,1,Fuel System Issues,0.9
Closed,U-00014195,DBCH2617,KOMAT,PC200-10M0,CHANDRA DELTA PERKASA,Internal - Troubleshooting,TRS,TRS HYD PC200_DBCH2617_CHANDRA DELTA PER,TRAVEL MOTOR LEAK,"Terdapat kebocoran oli hydraulic pada trvel motor, setelah dilakukan pemeriksaan kebocoran oli hydraulic di travel motor dikarenakan hose travel motor kendor,",PLU,0,02896-61018,oring  ,O RING   ,   ,HYDRAULIC SYSTEM, ,,2025-08-15,2025-08-20,1,Fuel System Issues,0.9
Closed,U-00007601,DBCH1595,KOMAT,PC200-10M0,GUNUNG MADU PLANTATIONS,Internal - Troubleshooting,TRS,TS Engine PC200-10M0 DBCH1595 PT GMP,ABNORMAL NOISE AT ENGINE FRONT AREA,V BELT OF AC COMPRESSOR WORN OUT,BLG,0,04120-21750,V BELT AC  ,V-BELT   ,   ,, ,,2024-11-29,2024-12-11,1,Fuel System Issues,0.9
Closed,U-00008183,DBCH2236,KOMAT,PC200-10M0,UTAMA TRAKTOR,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200,Oil leak from area main pump,Oring fatique,TJE,0,07000-010048,Oring  ,O-RING   ,   ,HYDRAULIC PUMP, ,  MAIN PUMP O RING,2024-12-21,2024-12-23,1,Fuel System Issues,0.9
Closed,U-00013049,J10115,KOMAT,PC200-10M0,BARA TAMA WIJAYA,Internal - Troubleshooting,OVH,TRS HYDRAULIC LEAK PC200 J10115,Hydraulic oil leak,"Data: 1.Unit under warranty 1 tahun, delivery date: 28 Juni 2025 2.Unit bekerja di area tambang 3.Unit baru saja dilakukan delivery/ serah terima Pemeriksaan: Ditemukan kebocoran oli hydraulic pada hose hydraulic Penyebab kebocoran, bolt mounting clamp loose, sehingga press oli hydraulic merusak oring Kesimpulan: oring broken cause poor torque clamp Action; Replace oring, torque clamp hose, leveling oil hyrauic",PLB,0,07000-13025,oring  ,O-RING   ,   ,HYDRAULIC SYSTEM, ,,2025-07-03,2025-07-08,1,Fuel System Issues,0.9
Closed,U-00007400,DBCH2241,KOMAT,PC200-10M0,MITRA POWER PERKASA,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200 MPP DBCH2241,Ketika unit operasi travel terjadi kebocoran pada hose travel side LH,Dari hasil pengechekan di temuakn kondisi hose travel motor kendor Dengan kendornya hose tersebut menyebabkan posisi o-ring bergerak akibat tekana pada oli dan mneyebabkan oring rusak dan menyebabkan external leak pada hose travel,PTK,0,07002-63334,o-ring  ,O-RING,   ,TRAVEL CIRCUIT, ,  TRAVEL HOSE,2024-11-21,2024-11-29,1,Fuel System Issues,0.9
Closed,U-00003278,J10076,KOMAT,PC200-10M0,SAWIT MAS SEJAHTERA,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200 J10076 SMS,HOSE BUCKET RH AND LH LEAK,"HOSE BUCKET RH AND LH LEAK TERJADI KEBOCORAN HOSE RH DAN LH,MELIHAT DARI DATA KERUSAKAN KEBOCORAN DISEBABKAN KARENA BENTURAN BENDA ASING. ANALISA ATAS HASIL PENGECEKAN INI KESIMPULAN MISS OPERASI ACTION LAKUKAN PENGGANTIAN PARTS HOSE",PLB,0,07096-20409,HOSE  ,HOSE   ,   ,HYDRAULIC SYSTEM, ,,2024-06-11,2024-06-24,1,Fuel System Issues,0.9
Closed,U-00005799,DBCH1861,KOMAT,PC200-10M0,JAGA KARYA GLOBALINDO,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200 JKG DBCH1861,Hose bucket cylinder kendor,"Model unit pc200-10m0 long arm,Unit bekerja penggalian parit Terjadi kendor pada hose bucket cylinder baik RH maupun LH hystory pada unit tersebut di 78hm pernah terjadi kendor pada hose bucket seihingga meyebabkan oli hyd level berkurang,danketika pemasangan hose d tambahkan locktite 2 ulir namun hose terjadi kendor lagi namun hose masih sering terjadi kendor dan di kencangnkan oleh mek customer, Hose kendor bisa di mungkinkan getaran yang terjadi pada hose yang di timbulkan oleh pipe yang bergetar,atau kualitas ulir pada pipe maupun hose yang kurang baik Selain problem hose kendor juga pada hm 464 hose bucket mengalami kerusakan hal ini bisa di sebabkan karena hose terkana material keras,karena saat proses unit beroperasi kondisi hose masuk ke galian parit",PTK,0,07096-20412,Hose  ,Hose   ,   ,HYDRAULIC SYSTEM, ,,2024-09-23,2024-10-04,1,Fuel System Issues,0.9
Closed,U-00010531,DBCH2209,KOMAT,PC200-10M0,TOMBROK JAYA PERMAI,Internal - Troubleshooting,TRS,TRS HYDRAULIC SYSTEM PC200,HYDRAULIC OIL LEAK 1. BOLT MOUNTING PIPING BROKEN,"DATA HASIL PENGECEKAN : 1.   HYDRAULIC OIL LOW LEVEL 1.   HYDRAULIC OIL LEAK PIPING CYLINDER BUCKET 2.   BOLT MOUNTING PIPING BROKEN 4 PCS 3.   PIPING CYLINDER BUCKET TERBENTUR ATTACHMENT UNIT LAIN SAAT UNIT BEKERJA ? DARI DATA DATA PENGECHECKAN DI ATAS PROBLEM HYDRAULIC CYLINDER LEAK DISEBABKAN KARENA BOLT MOUNTING PIPING PATAH. AKIBATNYA PIPING TERLEPAS DAN TERJADI KEBOCORAN HYDRULIC OIL. HAL TERSEBUT TERJADI DIKARENAKAN ADANYA BENTURAN DARI LUAR.   DARI ANALISA DIATAS DAN TEMUAN YANG ADA PADA UNIT, MAKA DAPAT DISIMPULKAN BAHWA PROBLEM INI TERJADI DIKARENAKAN ADANYA MISOPERATION DARI OPERATOR.",BJM,0,07372-21060,BOLT  ,BOLT,   ,HYDRAULIC SYSTEM, ,,2025-03-24,2025-03-25,1,Fuel System Issues,0.9
Closed,U-00007049,J10044,KOMAT,PC200-10M0,RIAU ANDALAN PULP & PAPER,Internal - Unschedule Breakdown,USW,REPLACE HOSE HYDRAULIC CAS,REPLACE HOSE CAS-99/PKB/X2024,REPLACE HOSE CAS-99/PKB/X2024,PKB,1,07633-205A6,HOSE  ,HOSE   ,   ,HYDRAULIC SYSTEM, ,,2024-11-07,2024-11-21,1,Fuel System Issues,0.9
Closed,U-00006273,J10058,KOMAT,PC200-10M0,BUYUNG PUTRA PERKASA,Internal - Troubleshooting,TRS,TRS AC MATI PC200 J10058 BPP,AC hot,"Kondisi Blower off, temuan Fuse putus. Kondisi Transistor short Temuan : Ada air di AC sistem karena hose pembuangan buntu",PLB,0,077800-1130,Transistor  ,Transistor   ,   ,, ,,2024-10-10,2024-10-16,1,Fuel System Issues,0.9
Closed,U-00018716,DBCH3248,KOMAT,PC200-10M0,BOSTON TRIKORA MAHARDIKA,Internal - Inspeksi Unit Warranty,USW,RI ELECTRIC BATTERY EX201 U-00018716,Voltage Drop battery drops,1 pcs Battery Can't Save Energy,LTI,1,08000-0115E,Battery  ,BATTERY   ,   ELECTRICAL SYSTEM ,ELECTRICAL SYSTEM, ,,2026-01-05,2026-01-26,1,Fuel System Issues,0.9
Closed,U-00018869,DBCH2473,KOMAT,PC200-10M0,KARUNIA ARMADA INDONESIA,Internal - Troubleshooting,TRS,TRS_ENGINE CAN'T START EXKM90 KAI,Cant Start,"Problem unit cant running disebabkan battery low voltage, Battery rusak karena sudah tidak dapat menyimpan voltage lagi.",TBG,0,08001-0115E,BATTERY  ,BATTERY   ,   ,, ,,2026-01-10,2026-01-13,1,Fuel System Issues,0.9
Closed,U-00015416,DBCH2479,KOMAT,PC200-10M0,KARUNIA ARMADA INDONESIA,Internal - Troubleshooting,TRS,TRS_Can't Start_EXKM091 KAI,Cant Start,"Unit mengalami problem cant start, setelah dilakukan pengecheckan didapatkan voltage battery drop saat posisi start 8 volt. Dari sini disimpulkan bahwa battery telah defect, dan harus dilakukan penggantian battery.",TBG,0,08028-63035,Battery  ,BATTERY   ,   ,, ,,2025-09-21,2025-09-24,1,Fuel System Issues,0.9
Closed,U-00013980,DBCH2080,KOMAT,PC200-10M0,SUMBER REJEKI TRANSJAYA,Internal - Troubleshooting,USW,RI ELECTRIC SYSTEM PC200_DBCH2080_SRT,Engine Can't running,"Customer call UT, menginformasikan unitnya ada kendala tidak bisa start dan meminta mekanik UT untuk melakukan pemeriksaan. Setelah mekanik UT melakukan pemeriksaan unit tidak bisa start dan running di sebabkan kerusakan pada starting switch.",SBY,1,08086-50000,Switch starting  ,Switch starting   ,   ,SWITCH, ,,2025-08-08,2025-08-21,1,Fuel System Issues,0.9
Closed,U-00016943,DBCH2974,KOMAT,PC200-10M0,KITA TAMBANG MINERAL,Internal - Troubleshooting,USW,CLAIM BACKUP ALARM_DBCH2974_KITA TAMBANG,Back up Alarm Mulfunction,Poor Durability,PLU,1,14Y-06-41150,back up Alarm  ,BACK UP ALARM   ,   ,, ,,2025-11-06,2025-11-27,1,Fuel System Issues,0.9
Closed,U-00016657,DBCH2974,KOMAT,PC200-10M0,KITA TAMBANG MINERAL,Internal - Inspeksi Unit Warranty,UIW,TRS BACKUP ALARM_DBCH2974_KITA TAMBANG M,Back Up Alrm Mulfunction,Poor Durability,PLU,0,14Y-06-41150,Backup Alrm  ,BACK UP ALARM   ,   ,, ,,2025-10-28,2025-10-30,1,Fuel System Issues,0.9
Closed,U-00015718,DBCH2105,KOMAT,PC200-10M0,ADIL FARHAN PRASETYO,Internal - Troubleshooting,TRS,TRS AC HOT PC200 DBCH2105 AFP,Kompressor AC Not aktif Wirring harness open circuit,Analisa: filter AC inner & outer kotor Wirring harness broken pada connector AC kompressor,PLB,0,17M-911-3530,FILTER  ,FILTER   ,   ,ACHOT, ,,2025-09-30,2025-10-21,1,Fuel System Issues,0.9
Closed,U-00005156,DBCH0058,KOMAT,PC200-10M0,KARYA TERANG UTAMA,Internal - Troubleshooting,USW,R&I SWING CIRCLE PC200 (U-00005156),Swing circle oblak,Swing circle oblak Clearence circle bearing out of standart Terjadi keausan pada ball bearing circle Mengingat HM unit masih rendah ( 4670 HM ) telah terjadi keausan abnormal pada circle bearing maka dapat di simpulkan keausan circle bearing di sebabkan daya tahan dari bearing tersebut rendah Poor durability,SPT,1,204-25-00710,Swing Circle  ,SWING CIRCLE   ,   ,SWING CIRCLE, ,,2024-08-30,2024-09-06,0,Seal Failure,0.95
Closed,U-00010227,J10033,KOMAT,PC200-10M0,MUARA RIAU,Internal - Troubleshooting,USW,REPLACE FOC SWING CIRCLE,TROBLE SHOOTING SWING ABNORMAL NOISE,SWING CIRCLE ABNORMAL NOISE BECAUSE POOR DURABILITY,PKB,1,204-25-00710,SWING CIRCLE  ,SWING CIRCLE   ,   ,SWING CIRCLE, ,,2025-03-13,2025-06-23,0,Seal Failure,0.95
Closed,U-00003661,J10074,KOMAT,PC200-10M0,MAJU ANEKA SAWIT,Internal - Troubleshooting,USW,RI SWING CIRCLE PC200 (U-00003661),Grease leak from seal swing circle,Terdapat rembesan grease pada swing circle Grease bocor melalui seal swing circle Seal tidak mampu menyekat grease dengan baik Daya tahan seal kurang mengingat HM unit masih rendah ( 933 HM ) Poor durability,SPT,1,205-25-71154,Seal  ,Seal   ,   ,SWING CIRCLE, ,,2024-06-28,2024-07-09,0,Seal Failure,0.95
